Protein ID,Gene name,Control1,Control2,Control3,Disease1,Disease2,Disease3
P04233, CD74 ,-2.17413195,-3.291757064,-2.502976962,-1.956033091,-2.18209955,-2.18436582
P04259, KRT6B ,-4.842149383,-4.523394854,-0.832965015,-4.336576173,-5.311204164,-4.927785505
P04271, S100B ,-2.082535049,-1.297064151,-1.293798171,-2.211507021,-0.479187267,-1.10631083
P04275, VWF ,2.692402412,2.683239725,2.565674528,2.387848803,2.603200379,2.782101324
P04350, TUBB4A ,1.27961777,0.576926419,1.062711484,0.870068694,1.1828818,1.273195003
P04406, GAPDH ,6.717603894,6.736542094,6.372919041,6.534603388,6.865441412,6.232447663
P04424, ASL ,-0.922294964,-1.550869285,-1.257520041,-1.250554495,-1.420129756,-2.163576991
P04439, HLA-A ,1.189824145,2.240188294,0.929582142,2.097036949,1.720546688,1.60372002
P04440, HLA-DPB1 ,-2.976449065,-3.176518596,-3.407761787,-2.352093367,-2.760391657,-4.307779396
P04626, ERBB2 ,0.211284294,0.525546625,0.233145463,0.82177731,0.567524707,0.481227334
P04632, CAPNS1 ,2.372810162,2.227270493,2.406361077,2.309089579,1.939832347,2.227200989
P04792, HSPB1 ,5.386775254,5.829907673,5.253810469,5.838484358,5.482472272,5.613050608
P04839, CYBB ,-2.123913552,-2.287696142,-2.032447408,-2.198304679,-1.956783028,-2.225581258
P04843, RPN1 ,3.194057253,3.272121395,3.011393571,3.04343488,2.932424606,2.962314735
P04844, RPN2 ,-0.207569515,-0.744214353,-0.445977851,-0.677965214,-0.937934015,-0.318032457
P04899, GNAI2 ,2.141553956,1.70816936,2.181833373,2.176597881,2.168482759,2.005911124
P04920, SLC4A2 ,-5.969046881,-5.849517099,-5.258636269,-6.276157476,-5.216902988,-5.790851174
P04921, GYPC ,-4.234708826,-4.512819522,-4.275831254,-3.873605888,-3.743331999,-4.578819264
P05023, ATP1A1 ,3.690780671,3.464172486,3.317823492,3.220250923,3.12739884,3.726445568
P05026, ATP1B1 ,3.258972264,2.873042842,2.631514736,2.995704644,2.931828171,3.418685277
P05060, CHGB ,-1.261276572,-1.518856984,-1.086967187,-0.939798443,-0.629787325,-1.383023883
P05067, APP ,0.46033158,0.409645485,0.54954835,0.250511613,0.400344173,0.276843639
P05089, ARG1 ,-4.022921984,-4.490416782,-3.005129728,-3.599282966,-3.616047147,-4.744098954
P05090, APOD ,0.636311283,0.801253681,0.487998289,-0.065455849,0.520004888,-0.287656672
P05091, ALDH2 ,5.404673976,5.419167109,5.43244747,4.61967483,4.969458613,5.393177201
P05106, ITGB3 ,0.984595632,1.383286765,1.774506357,2.812719112,2.719416098,0.910855057
P05109, S100A8 ,-1.355107375,-0.233013207,-0.249610858,-1.283730804,0.238275794,-1.218736096
P05141, SLC25A5 ,1.546257724,2.16737293,1.851118031,2.025779528,1.733920694,1.49039156
P05154, SERPINA5 ,0.97222244,1.059776406,0.845420987,1.01806653,0.697688276,0.298298503
P05155, SERPING1 ,2.676795732,2.722711069,2.391686412,1.569998234,1.877451305,1.096346837
P05156, CFI ,1.372810162,1.856223949,1.847732166,1.389462401,1.57089963,0.765993753
P05160, F13B ,-1.595183345,-0.991457886,-1.599852009,-0.911507015,-1.471879553,-2.514606301
P05161, ISG15 ,-3.557002059,-4.26144941,-3.455232073,-4.527497807,-3.297329513,-3.512946249
P05164, MPO ,-1.362859373,-1.025689245,-0.93752583,-1.281550487,-0.50767566,-1.381379868
P05165, PCCA ,3.74540296,3.839481508,4.026376086,3.79259598,4.038853773,4.010205978
P05166, PCCB ,3.485693761,3.596987539,4.013850349,3.411785103,3.731118679,3.779647506
P05186, ALPL ,-2.238088705,-2.025800491,-1.671767705,-1.854929661,-1.852286475,-1.769639952
P05198, EIF2S1 ,1.94736206,2.067748633,2.290572161,1.794504104,1.855662371,2.288935804
P05204, HMGN2 ,-2.960427365,-3.109152929,-3.525939266,-3.450085958,-3.403065363,-3.160288208
P05230, FGF1 ,-0.229441203,-0.006571639,-0.247210329,-0.425839384,-0.207038319,-0.643228886
P05362, ICAM1 ,-1.148491575,-1.831965524,-1.141692252,-0.791196726,-0.72384475,-1.30567649
P05386, RPLP1 ,-0.84216383,-0.564412193,-0.753294059,-0.312908957,-0.658829129,-0.43127516
P05387, RPLP2 ,1.672219701,1.629155727,1.752834926,1.696391285,2.149673392,2.002082712
P05388, RPLP0 ,1.767319096,1.574983741,1.483041879,1.977397452,1.370660846,1.913507044
P05413, FABP3 ,6.064443799,6.189546113,5.711142021,5.845329546,6.147900294,5.786569308
P05452, CLEC3B ,1.832750917,1.948722028,1.743072376,1.142111027,1.226828429,0.953562546
P05455, SSB ,2.631279659,2.710625438,2.494860077,2.673361829,2.485320415,2.543895587
P05543, SERPINA7 ,0.07894544,0.187088523,0.37473053,-0.498739057,-0.255518055,-0.503492262
P05546, SERPIND1 ,0.946212294,1.240928256,1.055153059,0.610476508,0.102252026,0.054130538
P05556, ITGB1 ,4.354883391,4.213482196,4.232914317,4.109204957,4.217422277,4.483469917
P05771, PRKCB ,-1.407538526,-1.247573751,-0.923211027,-1.215743142,-0.761724206,-1.703218668
P06132, UROD ,0.365587975,0.393846528,0.3937194,0.500024248,0.584596906,0.292556092
P06213, INSR ,0.805861772,0.626114378,0.542235615,0.779217716,0.526426283,0.973390335
P06310,  ,0.11617215,1.142937352,0.627756512,0.893024067,-0.30829473,-0.536481944
P06312, IGKV4-1 ,-1.601283545,-0.430108946,-1.425042704,-2.161124294,-2.081163535,-2.221099443
P06400, RB1 ,-3.70837557,-3.845332955,-3.212397932,-2.971966908,-3.44260832,-3.398150651
P06454, PTMA ,-1.586081138,-1.405467355,-1.589143581,-1.768555119,-1.332999193,-1.906451746
P06576, ATP5B ,7.155696746,7.151682069,6.799024371,6.824959286,6.957554492,7.083977866
P06681, C2 ,0.212328099,0.412029222,0.398181914,-0.15370878,0.127777649,-0.376423434
P06702, S100A9 ,0.120978695,0.586054889,1.118110161,-0.122525329,1.620732935,-0.204068046
P06703, S100A6 ,1.26199978,1.809725894,2.174165943,2.670884409,1.35645998,1.331453203
P06727, APOA4 ,4.544842826,3.495224662,4.089664842,3.340731978,4.167423731,2.664236843
P06730, EIF4E ,0.34622413,0.025132447,0.201165532,0.397973135,0.05570944,0.136764365
P06732, CKM ,7.34913643,6.923604104,7.319996603,7.138317301,7.579562197,7.218208888
P06733, ENO1 ,4.840957123,5.03527206,4.486464847,4.605720303,5.036686882,4.73380195
P06737, PYGL ,0.297498695,0.092685905,0.114821615,0.256311471,0.114842005,0.385373016
P06744, GPI ,5.703193466,5.677426351,5.449388019,5.415669508,5.816236835,5.545082415
P06746, POLB ,-4.796082045,-5.057219041,-5.077215937,-4.766404749,-4.607749376,-4.763407676
P06748, NPM1 ,3.365048371,3.279792922,3.20157176,3.411223603,3.253127031,3.791974059
P06753, TPM3 ,3.348726115,4.301180637,3.654678433,5.588901129,3.703144632,3.72513982
P06756, ITGAV ,1.43284859,1.80256998,1.483041879,1.42691121,1.327780276,1.599201711
P06858, LPL ,1.538302491,1.269585345,1.376229496,1.017729329,0.616177379,1.442666112
P06865, HEXA ,1.064124644,0.817280672,0.719716472,0.665244154,0.64552134,0.873655133
P07093, SERPINE2 ,-0.725636744,-0.875369109,-0.019597141,0.247998269,-0.361745591,-0.790500145
P07099, EPHX1 ,2.386977494,2.185912194,2.527960834,2.581665549,2.199266764,2.735635199
P07108, DBI ,4.009803789,4.247708956,4.538729353,3.88881825,4.243720957,3.86102884
P07195, LDHB ,7.388748286,6.965215941,7.007961259,6.316455159,6.191926513,6.944650089
P07196, NEFL ,-1.768994242,-1.638382156,-1.951290904,-1.858995444,-1.405255912,-1.467102452
P07203, GPX1 ,1.987037257,2.276097631,2.094360027,1.769186483,1.97930532,2.314464006
P07204, THBD ,-3.199190388,-3.64093593,-2.882279852,-3.192479865,-2.954343222,-3.182372975
P07205, PGK2 ,-0.951726539,-1.196690912,-1.750404751,-1.242756945,-1.318992839,-1.308186764
P07225, PROS1 ,0.323718126,1.261995903,0.992564906,1.409007555,0.669526803,-0.137673379
P07237, P4HB ,4.60668208,4.49962733,4.400306895,4.53703192,4.394401855,4.388209598
P07305, H1F0 ,1.768857087,1.695539105,1.455778841,1.3923916,2.254602046,1.894603959
P07311, ACYP1 ,-2.912158785,-2.948772627,-2.947991765,-2.730896993,-2.905773663,-2.973166546
P07339, CTSD ,4.400339338,4.683775557,4.870173315,4.415209532,5.020968057,4.538784611
P07355, ANXA2,4.502182089,4.824441308,5.037865783,4.764750673,4.746216157,4.465088245
P07357, C8A ,2.286654715,3.013920294,2.520338205,2.190969062,2.009630865,0.925337708
P07358, C8B ,0.605259026,1.570759478,1.270987765,0.481162045,0.506289272,0.017755676
P07359, GP1BA ,-4.053106098,-3.929030035,-3.199450672,-1.878681723,-2.32499373,-4.058980357
P07360, C8G ,1.052514911,1.341810304,1.224947571,1.116338698,1.000496525,0.339364118
P07384, CAPN1 ,1.71292139,1.727503915,1.692771703,1.826261102,1.530786875,1.462005881
P07437, TUBB ,1.321414234,1.346287117,1.279730014,1.410196294,1.426860852,1.226380843
P07451, CA3 ,0.761863769,2.479850682,0.979107497,3.48427716,0.588592798,0.574426361
P07585, DCN ,3.944040919,4.662444425,3.997925327,4.525255958,3.819098379,3.848081624
P07602, PSAP ,3.119838821,3.580000033,3.833493659,3.017423672,3.790194353,3.28142534
P07686, HEXB ,1.475278449,1.668773839,1.497833314,1.752944425,1.461039048,1.557794085
P07711, CTSL ,-2.010707912,-1.917061933,-1.555132221,-1.750636801,-1.629275141,-1.850892627
P07737, PFN1 ,4.060675671,3.891657181,3.682087765,3.769374273,3.875760844,3.863140911
P07738, BPGM ,1.393510928,1.624484975,1.716517899,2.351851798,2.471955845,1.505730229
P07741, APRT ,0.444340083,0.614955159,0.36712357,0.445849185,0.472090106,0.300793899
P07814, EPRS ,4.52362634,4.416355086,4.251069774,4.258681085,4.394874051,4.507660256
P07858, CTSB ,3.697101394,3.256769196,4.457619434,3.485801725,3.719698828,3.202004176
P07900, HSP90AA1 ,6.292712053,6.090022203,6.078096643,6.311412829,5.949976365,6.367004025
P07902, GALT ,0.372078671,0.571936167,-0.115928411,0.228096715,0.211684684,0.159726433
P07910, HNRNPC ,2.355001543,2.654161433,2.385351287,2.918614392,2.81148442,3.145919984
P07919, UQCRH,2.392897276,3.120419915,4.166011572,2.979887938,4.186095509,3.570983234
P07942, LAMB1 ,3.702404343,3.535363167,3.391650083,3.505363093,3.757306422,3.744500722
P07947, YES1 ,0.60737655,0.380141491,0.614892372,0.480825699,0.503927377,0.637992125
P07948, LYN ,0.384633628,0.782634745,0.457695785,0.329865362,0.318584573,0.332869052
P07951, TPM2 ,5.688422777,6.329339979,6.111126256,6.096800021,5.669959295,5.470664483
P07954, FH ,5.434703751,5.308534149,5.192257848,5.553173032,5.336483539,5.574267522
P08047, SP1 ,-2.519990142,-1.334522603,-2.182649146,-1.361208124,-1.699446846,-1.905013264
P08069, IGF1R ,-2.060768654,-2.365076278,-1.892521079,-1.620541597,-1.541127161,-1.536680824
P08123, COL1A2 ,1.973915955,2.273613768,2.156485844,2.207048227,3.041796535,2.078863321
P08133, ANXA6 ,5.300810479,5.364115104,5.439493613,5.544238213,5.409377555,5.230476918
P08134, RHOC ,-0.77047134,-0.68279169,-0.766011367,-0.423147414,-0.004787736,-0.629249339
P08138, NGFR ,-1.927114023,-1.902158393,-2.026703054,-1.908219505,-2.074507068,-2.289431802
P08172, CHRM2 ,-2.59969501,-2.873566015,-2.763031796,-2.389439638,-2.892683424,-2.54250024
P08174, CD55 ,0.444858237,0.397003593,0.480529947,0.030634133,0.288270229,0.523466146
P08185, SERPINA6 ,-1.539068148,-1.842430068,-1.818301088,-2.063956147,-2.519182972,-2.059780426
P08195, SLC3A2 ,-1.424041393,-1.834340716,-1.922242469,-1.338906094,-1.782430905,-1.489026125
P08237, PFKM ,5.027887817,4.842760275,4.704298817,4.994286078,4.753015603,4.511873211
P08238, HSP90AB1 ,4.404721537,4.36705719,4.44077583,4.383357094,4.257785538,4.457494768
P08240, SRPR ,0.662387503,0.616809156,0.470410733,0.562359953,0.4701197,0.481246977
P08253, MMP2 ,-1.939889492,-2.533144637,-1.924918427,-1.702201188,-2.303628923,-2.566827667
P08294, SOD3 ,0.333888498,0.66956414,0.260203818,0.398296979,0.601687627,0.469055783
P08311, CTSG ,-0.612329329,-1.084819342,-0.273838428,-1.143066423,-0.73475326,-1.173624642
P08397, HMBS ,1.211823688,1.014569523,1.015303547,1.064044058,1.063591357,0.642513718
P08493, MGP ,-6.179795259,-4.689793823,-5.643398651,-7.194095945,-6.48094433,-6.048097883
P08514, ITGA2B ,0.375157765,0.925723337,1.099529385,1.742906698,1.825388467,0.35203087
P08519, LPA ,-2.715477579,-4.98227131,-2.825688755,-4.483109653,-4.476110064,-5.687888562
P08559, PDHA1 ,5.604903044,5.757216912,5.131772917,5.72211811,5.536878916,5.64496651
P08567, PLEK ,0.016477133,-0.095544711,0.993005585,1.263386447,1.227765238,0.098679119
P08571, CD14 ,-1.9070266,-2.114537712,-1.865732311,-1.947431985,-2.016008764,-2.269198065
P08572, COL4A2 ,-0.151106793,-0.325155402,0.260617631,0.02145524,0.722729985,-0.325916431
P08574, CYC1 ,4.265628623,4.094554929,4.512725197,4.447821684,4.477205061,4.490562347
P08575, PTPRC ,-1.806982235,-2.208941197,-2.236308878,-2.325068217,-2.539851111,-2.566389052
P08579, SNRPB2 ,1.553551724,1.56821897,1.222776447,1.189529014,1.287270176,1.573910646
P08582, MFI2 ,-3.217852209,-3.793605641,-3.150315759,-3.098685442,-3.554266088,-3.569576108
P08590, MYL3 ,8.609594134,8.7625158,8.678701107,8.929242546,8.827357618,8.755003955
P08603, CFH ,4.651061164,4.659204402,4.883668672,4.512560651,4.58009864,4.022980621
P08621, SNRNP70 ,1.396728324,1.277360502,1.266033988,1.453021773,1.299376638,1.514011089
P08648, ITGA5 ,-0.080957192,-0.245136766,-0.251470615,-0.13446816,-0.174868451,0.047379744
P08651, NFIC ,-5.173222937,-4.79534939,-5.544113298,-5.078032382,-5.362158305,-4.925617042
P08670, VIM ,6.178797405,6.69769676,6.634350021,6.207891378,5.881500346,6.06741052
P08697, SERPINF2 ,1.465024606,1.456149549,1.513409845,1.103843817,1.221283513,0.485757977
P08708, RPS17 ,-0.383080317,0.010669759,-0.516603526,0.027622854,0.067249634,0.027823636
P08754, GNAI3 ,0.268805274,-0.065730648,0.309494343,0.281143081,0.148423118,0.124591554
P08758, ANXA5 ,4.093974243,4.762098042,4.555608704,4.685801589,4.407389754,3.971730911
P08865, RPSA ,2.372382207,2.493479232,2.363067852,2.552863973,2.337998566,2.483641525
P08910, ABHD2 ,-3.97059377,-3.922950695,-3.700130842,-4.346265694,-4.166242418,-4.114801719
P08962, CD63 ,-1.625572537,-1.54104132,-1.764974297,-1.299085992,-0.58744765,-1.141691231
P09001, MRPL3 ,-0.068311569,0.152800623,0.164043392,0.436450692,1.212756364,0.577920996
P09012, SNRPA ,1.239137014,1.370283928,1.391482956,1.452819117,1.037639707,1.556023278
P09104, ENO2 ,2.567384324,3.174434808,1.865629226,3.231108596,2.064383122,1.952287643
P09105, HBQ1 ,-1.631490719,-1.015866734,-0.545528364,-0.194392814,-0.794941656,-1.243973763
P09110, ACAA1 ,2.905032442,2.718383851,2.715008864,3.030331198,3.122132571,3.026013618
P09132, SRP19 ,-3.107358369,-2.850210384,-3.140397276,-2.877426769,-2.924000313,-3.279732122
P09172, DBH ,-2.219296339,-2.527336983,-1.94333575,-2.367008529,-2.370407505,-2.402769086
P09211, GSTP1 ,4.103968095,4.718226102,4.005304492,3.734787461,3.908758553,3.796283329
P09234, SNRPC ,-1.344886927,-1.770537422,-1.352076573,-1.369564585,-1.452495862,-1.216631508
P09382, LGALS1 ,3.588474019,3.273930133,3.515978551,3.832894885,3.439900503,3.294228665
P09417, QDPR ,2.87117669,2.64842119,2.705103007,2.468942247,2.452354627,2.543613425
P09429, HMGB1 ,1.810636721,1.901006731,1.711986052,2.184974995,3.17624056,2.508335156
P09455, RBP1 ,0.040517175,0.482786133,0.117495227,0.429147492,-0.224822298,-0.287656672
P09467, FBP1 ,-4.668863577,-5.375994279,-4.461350702,-4.305105386,-4.544672313,-5.00633992
P09471, GNAO1 ,2.010978979,1.894084785,1.568569763,1.797576414,1.984020528,1.725388625
P09486, SPARC ,0.020654076,0.473135438,1.168579345,0.816213497,0.65501383,0.486619346
P09488, GSTM1 ,0.022559515,-0.589877452,-0.788754087,1.660931966,1.608027838,-0.950975978
P09493, TPM1 ,8.415843345,9.306257462,9.185764478,8.82817407,9.574816378,8.357420745
P09496, CLTA ,0.766253371,0.691112569,0.765944078,0.758126479,0.840512388,0.71259435
P09497, CLTB ,2.299153491,2.263362221,2.014039159,2.122055695,2.582207869,2.306891656
P09525, ANXA4 ,2.330816073,2.711793531,3.013944757,2.553809121,2.515741794,2.43477588
P09543, CNP ,1.897616357,1.592555571,1.907595871,1.615554853,1.758591183,1.683487959
P09619, PDGFRB ,-0.681991948,-0.677224136,-0.584619317,-0.545809618,-0.563153467,-0.697782096
P09622, DLD ,6.125886993,6.128814621,5.89351558,5.794719379,5.844744061,6.245878985
P09651, HNRNPA1,3.541057198,2.844739176,3.054207761,3.374331503,3.253430834,3.727046229
P09661, SNRPA1 ,-0.300514519,-0.200628832,-0.19329062,-0.809255266,-0.77370211,-0.219853413
P09668, CTSH ,1.422663409,1.013974407,0.683779971,1.251659113,1.412723342,1.179692234
P09669, COX6C ,1.71758475,2.80587111,3.685025592,2.27660547,2.895861199,3.036579174
P09871, C1S ,1.249766686,1.096012624,1.331841802,0.992898281,0.927961635,0.463299287
P09874, PARP1 ,3.786222703,3.44151842,3.376457143,3.825930116,3.283832509,4.094405736
P09913, IFIT2 ,0.098572958,0.839985245,-0.439448166,-0.819311023,0.177732247,-0.004160206
P09914, IFIT1 ,-2.184352224,-2.075646433,-1.904461869,-2.161735225,-2.055614311,-2.492895327
P09936, UCHL1 ,1.644003262,1.797108905,1.562127999,1.233769465,1.758713482,1.789774935
P09960, LTA4H ,3.405748475,3.344050447,3.142348192,3.405636818,3.073850565,2.962596181
P09972, ALDOC ,5.709175197,5.704942541,4.836806332,5.318595498,5.212162573,5.204088565
P0C0L4, C4A ,-2.35660285,-3.366878943,-2.538577637,-3.13238037,-3.254915473,-3.195978924
P0C0L5, C4B ,4.453539185,5.046029076,4.58903975,4.153114921,4.219933922,3.553900106
P0C7P0, CISD3 ,-1.348781673,-1.419049936,-1.32183271,-1.106585317,-0.670242707,-1.510506622
P0C7T5, ATXN1L ,-3.296732904,-3.133016958,-3.242935513,-2.523836174,-2.792115472,-3.208902811
P0C870, JMJD7 ,0.013745643,-0.563620573,-0.508661666,-0.26258637,-0.575557749,-0.523416116
P0CAP1, MYZAP ,2.213953192,2.27756336,2.147908049,2.245984436,2.238819482,2.10739811
P0CG12, CHTF8 ,-2.338045383,-2.343119066,-3.1012606,-2.569262259,-2.225799547,-2.345468491
P0CW20, LIMS3L,2.090241157,2.482414639,1.943229695,2.57057307,2.079148826,1.942903765
P0DJ07, PET100 ,0.658180463,1.74015302,1.226577846,1.11048037,1.811779142,0.958086434
P0DJ93, SMIM13 ,-7.025229626,-6.679032111,-6.09602822,-5.706724244,-5.297972463,-5.821305578
P0DJI8, SAA1,-1.15018981,0.087964166,-0.448629243,-0.435329887,-1.389340868,-0.991019819
P0DMN0, SULT1A4,1.536358907,1.584051575,1.248777199,0.95529378,1.103138451,1.144153058
P0DMV9, HSPA1B,5.467494733,4.642019158,5.62954443,5.343299239,4.858432584,5.296365505
P0DN76, U2AF1 ,0.077953202,0.189102857,-0.155513016,0.000746647,-0.072973972,0.388895622
P0DOX2,  ,0.095747615,1.293678017,0.698398455,-0.026857136,-0.032201402,-0.497363195
P0DOX3, IGHD ,1.254756813,0.439606032,1.135778101,0.598012057,0.858221435,0.147523842
P0DOX5, IGHG1 ,6.340261482,5.899001025,5.799503661,5.723653365,5.720515294,5.072064511
P0DOX7,  ,4.799089391,5.22164681,5.072158571,4.460515582,4.617263662,4.306171043
P0DOX8, IGLL5,1.502697658,2.408657958,1.226414901,1.263279778,1.854861732,1.116848873
P0DOY3,  ,4.450869998,4.968326065,4.431193175,4.169097321,4.55348737,3.720695579
P0DP03, IGHV3-23 ,3.590231597,3.596355234,4.201488866,3.552282036,2.498342612,2.126866097
P0DP08, IGHV4-61 ,-3.021939735,-1.817256658,-0.976983198,-3.180784216,-3.154955838,-3.293459054
P0DP25,  ,4.138125225,4.032937439,4.115741228,4.516332503,4.203653055,4.396305844
P0DP58,  ,-0.803109982,-0.410585794,-0.711798949,-1.330724843,-1.128078215,-1.060752535
P0DPB6,  ,-2.389268252,-2.794257405,-2.901638339,-2.775726775,-2.842339279,-2.111930305
P0DPI2,  ,4.764594011,4.556740283,4.538187909,4.849139828,5.068360111,5.108765639
P0DPQ4, C21orf140 ,-5.516850234,-2.674169372,-2.763601325,-2.941453051,-2.443530997,-2.606074436
P10109, FDX1 ,-0.398082389,-0.724254366,-0.471761536,-0.53136612,-0.405749244,-0.142477985
P10114, RAP2A ,-4.210186933,-5.087515279,-4.36895543,-3.815130123,-4.55942849,-4.123139781
P10153, RNASE2 ,-3.145199124,-3.341511977,-3.141507184,-3.364435017,-2.939726902,-3.44686687
P10155, TROVE2 ,2.157718776,2.276120192,2.147219618,2.201770237,2.151258003,1.827812821
P10253, GAA ,1.266026611,1.014623612,1.131068037,1.317607056,1.698147481,1.239679816
P10301, RRAS ,0.098629409,-0.145074484,0.184855428,0.341127887,0.025249379,0.329752349
P10321, HLA-C ,1.132806021,0.874787001,0.657769226,0.998313303,1.507803515,1.377035541
P10398, ARAF ,-0.090579043,-1.151299009,0.723393014,-0.797710367,-0.973003057,-0.489988602
P10412, HIST1H1E ,3.186663272,3.431120755,3.329856174,3.589238023,4.291291599,3.899849091
P10515, DLAT ,3.968572063,3.780823172,3.588231575,4.099976599,3.469716331,3.937705759
P10599, TXN ,2.007425479,2.103279083,1.958221944,1.838842302,2.043353518,2.065233509
P10606, COX5B ,4.520469457,4.691324067,4.528555691,4.589698908,5.164495851,4.776249165
P10619, CTSA ,1.674683094,1.590016891,2.193800458,1.318497112,1.167432943,1.429797035
P10636, MAPT ,1.984188292,1.531796085,3.17855232,2.851433003,2.171792959,2.590167956
P10643, C7 ,3.151428766,3.418196302,2.876261853,2.452663209,2.910686002,2.100253198
P10644, PRKAR1A ,3.622898036,3.986674989,3.452055754,3.719544917,3.59191885,3.875804852
P10720, PF4V1,-2.141585197,-1.190991221,-0.271535348,-0.805148106,0.485689892,-1.682826252
P10746, UROS ,-0.223383363,-0.042923008,-0.069097277,0.113599883,0.036147173,-0.569714481
P10768, ESD ,1.458587911,1.392806508,1.788149751,1.6113707,1.868979125,1.652334856
P10809, HSPD1 ,5.964092891,5.991749848,5.979842323,5.897521235,6.039206214,6.164916603
P10909, CLU ,2.188498748,2.625406168,2.400523553,1.928009425,2.515814155,1.744091481
P10915, HAPLN1 ,-0.609098896,-0.639522283,-0.462537617,-1.23449914,-1.325615939,-1.584564772
P10916, MYL2 ,7.894469875,8.674829624,8.437955207,8.070862631,8.465971382,7.87806794
P11021, HSPA5 ,5.241546179,5.556647415,4.968317685,5.277045786,5.184434924,5.413264454
P11047, LAMC1 ,4.260276557,4.136042442,4.06627562,4.173810428,4.369912482,4.392002209
P11055, MYH3 ,5.425685272,6.299821946,5.610004243,5.978264196,5.795822045,5.168542761
P11137, MAP2 ,-2.874363681,-3.01462981,-3.045074811,-2.607088275,-1.763619949,-2.200408464
P11142, HSPA8 ,6.463071033,6.533524107,6.169024526,5.822359665,5.803844879,6.91441663
P11166, SLC2A1 ,0.343574901,-0.068936639,0.847838095,1.079090352,0.930417434,0.513165924
P11169, SLC2A3,-4.259307444,-4.349598804,-3.724015578,-2.051129738,-2.124807595,-3.743694833
P11171, EPB41 ,2.136980502,1.928280976,2.393284001,2.501034798,2.259277411,2.315235589
P11172, UMPS ,-1.842091593,-1.874767827,-2.079421955,-1.493742757,-1.574509705,-1.710738783
P11177, PDHB ,5.57828823,5.692254293,5.404093735,5.635746275,5.50952331,5.853782856
P11182, DBT ,3.722034614,3.601766023,3.441460382,3.526922979,3.580375436,3.69127839
P11215, ITGAM ,-3.707480402,-3.818458699,-3.718483958,-3.307892061,-3.241741521,-3.672387468
P11216, PYGB ,5.050193873,5.328823473,4.977181639,5.213020504,5.191247064,5.095753555
P11217, PYGM ,4.095271471,4.802875378,4.13804509,4.462123539,4.3194844,4.346897734
P11233, RALA ,2.578018322,2.669065957,2.052324497,1.851905979,1.739756295,2.753108737
P11234, RALB ,0.878126803,0.828769913,0.761632562,0.792731479,0.667365657,0.98784242
P11274, BCR ,-3.234291637,-2.982836479,-3.108838986,-2.745333033,-3.106210892,-3.013806685
P11277, SPTB ,4.884443449,4.734491063,5.14562636,5.403722694,5.037695143,4.982873485
P11279, LAMP1 ,0.379686693,-0.230062253,-0.828218412,-0.557884021,-0.323957311,0.146409381
P11310, ACADM ,4.678936743,4.746183793,4.650433694,4.745486324,4.997063958,4.85397251
P11362, FGFR1,-1.937495105,-2.383718277,-2.357557181,-1.845344021,-2.279277523,-1.913872397
P11387, TOP1 ,-1.061441279,-1.288043011,-1.385555847,-0.943815382,-1.079081181,-1.073911655
P11413, G6PD ,0.759723448,0.82932353,0.44279345,0.228169584,0.459625363,0.193378591
P11441, UBL4A ,-1.729039092,-1.621774194,-1.626563947,-1.647830555,-1.577347349,-1.762551444
P11498, PC ,0.847550228,0.694290238,0.782663539,0.444814894,0.735860235,0.399162621
P11532, DMD ,7.063826501,7.008379834,6.814384836,7.082229278,7.060010622,7.007868402
P11586, MTHFD1 ,4.692012737,4.501365343,4.438597142,4.415209532,4.64328085,4.509226504
P11717, IGF2R ,2.460968445,2.433206291,2.600919824,2.413948846,2.544613135,2.529339495
P11766, ADH5 ,3.785083168,3.530548357,3.270521601,3.610322763,3.523571859,3.00870764
P11802, CDK4 ,-1.02326593,-1.203922859,-0.974658508,-1.028162073,-1.128078215,-1.246769243
P11940, PABPC1 ,1.84710229,1.789162931,1.680334089,1.72855523,1.84095142,1.657907131
P12004, PCNA ,-0.429512206,-0.142539097,-0.546419054,-0.464594008,-0.907651213,-0.394548702
P12074, COX6A1 ,-2.291140635,-1.598290269,-1.705567533,-2.09395891,-1.621868831,-1.943098879
P12081, HARS ,1.109557904,0.96695005,0.98913067,1.038197291,0.695466722,0.950018362
P12107, COL11A1,-4.025052488,-3.781443024,-3.772015079,-2.849013811,-2.422235476,-3.771511152
P12109, COL6A1 ,3.004942851,3.594275706,3.15177437,2.89545795,3.034794492,2.881825682
P12110, COL6A2 ,3.251290928,3.763788464,3.431528938,3.542682648,3.570934453,3.157921045
P12111, COL6A3 ,5.391294799,5.865242915,5.300416501,5.228697773,5.29133387,5.272726925
P12235, SLC25A4 ,5.571948933,5.565189371,5.630391375,5.797177384,5.669715424,5.708172079
P12236, SLC25A6 ,0.772518002,1.201035097,0.800833881,1.338328926,0.551293339,0.795884571
P12259, F5 ,-0.403055782,-0.714914987,0.155544779,0.516466763,-0.211487762,-0.960282862
P12268, IMPDH2 ,1.083744335,1.169366375,1.022528891,1.126949177,0.788104883,1.133443317
P12270, TPR ,3.726455573,3.559106384,3.418429414,3.718443029,3.604391746,3.70267513
P12277, CKB ,6.133971274,5.969215933,5.938537354,4.863856148,6.162648462,5.067737606
P12429, ANXA3 ,4.539047994,3.901270047,4.087625506,4.19619352,4.177590466,4.276905881
P12694, BCKDHA ,3.675093251,3.31930304,3.624390454,3.147081599,3.428645242,3.230681416
P12814, ACTN1 ,3.473900967,3.847322881,4.167964344,3.863093825,4.081399597,3.478115316
